name,party,ranking,votes
VAN GREUNINGEN Marinus,KNV,1,265
THIENPONT Alexandra,CD&V,1,1563
DE BECKER René,CD&V,6,517
GOEMINNE Kristien,CD&V,3,912
OUTTIER-VANNEREM Ann,CD&V,5,553
MOONS Wim,CD&V,2,1161
DE GREEF Frie,CD&V,7,369
LANGMANS Gabriëla,CD&V,11,268
VERMEULEN Barbara,CD&V,8,314
PIOT Jonas,CD&V,10,270
GRAULS-GYSENBERGS Els,CD&V,9,271
TAES Chris,CD&V,4,794
VANDERVELDE Mia,Groen,1,448
VERDEYEN An,Groen,2,286
SCHILLEBEECKX Elke,Groen,3,231
NEVENS Bart,N-VA,1,996
LEDENS Sabine,N-VA,2,546
VANHEEL Harold,N-VA,3,481
VANHOOF Hans,N-VA,5,375
DEBAETSELIER Melody,N-VA,6,349
VAN ROEY Kristof,N-VA,4,457
HEREMANS Anneke,N-VA,7,267
RYCKMANS Stef,Open Vld,1,462
VAN DE CASTEELE Ann,Open Vld,3,454
WILLEMS Maarten,Open Vld,4,454
HAELTERMAN David,Open Vld,2,574
WILLEMS Erwin,Open Vld,5,338
